jwoodcock  sshd         231-52-77-204.sp Thu Mar 26 15:20 - 15:21  (00:01)
jwoodcock  sshd         231-52-77-204.sp Thu Mar 26 15:20 - 15:24  (00:04)
jwoodcock  dtremote     ::1::1:1         Thu Mar 26 09:40 - 09:45  (00:04)
jwoodcock  pts/8        thinclient       Thu Mar 19 20:03 - 20:58  (00:54)
jwoodcock  sshd         thinclient       Thu Mar 19 20:03 - 20:58  (00:54)
jwoodcock  dtremote     ::1::1:1         Thu Mar 19 19:56 - 19:58  (00:02)
jwoodcock  pts/9        thinclient       Thu Mar 19 19:50 - 19:54  (00:04)
jwoodcock  sshd         thinclient       Thu Mar 19 19:50 - 19:54  (00:04)
jwoodcock  dtremote     ::1::1:1         Thu Mar 19 16:16 - 16:28  (00:11)
jwoodcock  dtremote     ::1::1:1         Sun Mar 15 16:24 - 16:25  (00:01)
jwoodcock  dtremote     ::1::1:1         Sun Mar 15 16:22 - 16:23  (00:01)
jwoodcock  dtremote     ::1::1:1         Thu Mar 12 22:32 - 22:34  (00:01)
jwoodcock  dtremote     ::1::1:1         Wed Mar 11 09:52 - 09:53  (00:00)
jwoodcock  dtremote     ::1::1:1         Wed Mar 11 09:50 - 09:51  (00:00)
jwoodcock  dtremote     ::1::1:1         Wed Mar 11 09:39 - 09:40  (00:00)
jwoodcock  dtremote     ::1::1:1         Tue Mar 10 14:29 - 14:51  (00:22)
jwoodcock  dtremote     ::1::1:1         Tue Mar 10 14:26 - 14:27  (00:00)
jwoodcock  pts/3        thinclient       Fri Mar  6 17:59 - 18:03  (00:04)
jwoodcock  sshd         thinclient       Fri Mar  6 17:59 - 18:04  (00:04)
jwoodcock  pts/1        c-24-131-166-255 Fri Mar  6 17:53 - 17:56  (00:03)
jwoodcock  sshd         c-24-131-166-255 Fri Mar  6 17:53 - 17:56  (00:03)
jwoodcock  sshd         c-24-131-166-255 Fri Mar  6 17:53 - 17:56  (00:03)
jwoodcock  pts/2        thinclient       Fri Mar  6 17:37 - 17:37  (00:00)
jwoodcock  sshd         thinclient       Fri Mar  6 17:37 - 17:37  (00:00)
jwoodcock  pts/1        c-24-131-166-255 Fri Mar  6 17:36 - 17:38  (00:01)
jwoodcock  sshd         c-24-131-166-255 Fri Mar  6 17:36 - 17:38  (00:01)
jwoodcock  pts/1        c-24-131-166-255 Fri Mar  6 17:35 - 17:36  (00:00)
jwoodcock  sshd         c-24-131-166-255 Fri Mar  6 17:35 - 17:36  (00:00)
jwoodcock  pts/1        c-24-131-166-255 Fri Mar  6 17:28 - 17:30  (00:01)
jwoodcock  sshd         c-24-131-166-255 Fri Mar  6 17:28 - 17:30  (00:01)
jwoodcock  pts/4        thinclient       Fri Mar  6 16:53 - 17:13  (00:20)
jwoodcock  sshd         thinclient       Fri Mar  6 16:53 - 17:13  (00:20)
jwoodcock  pts/1        c-24-131-166-255 Fri Mar  6 16:49 - 17:27  (00:37)
jwoodcock  sshd         c-24-131-166-255 Fri Mar  6 16:49 - 17:27  (00:37)
jwoodcock  pts/4        thinclient       Tue Mar  3 10:08 - 10:10  (00:01)
jwoodcock  sshd         thinclient       Tue Mar  3 10:08 - 10:10  (00:01)
jwoodcock  pts/3        thinclient       Tue Feb  3 15:38 - 15:40  (00:01)
